GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;90 years;186.8;256.1;328.3;192.4;307.0;337.9;414.8;464.8;413.6;349.9;418.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;95 years;55.5;62.3;84.4;113.1;69.1;114.9;131.3;167.2;193.9;178.6;156.1
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;100 years and over;20.5;19.4;24.0;32.6;50.8;44.8;59.5;77.3;103.3;134.8;144.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;Total;84039.9;84000.9;83643.5;82846.1;81848.3;80673.6;79358.4;77969.5;76650.3;75523.1;74521.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;under 1 year;388.1;396.7;396.7;385.4;378.6;382.4;388.5;387.4;381.9;376.4;371.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;5 years;427.3;421.2;409.2;406.4;394.7;387.9;391.7;397.9;396.7;391.3;385.8
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;10 years;399.5;429.4;433.5;418.7;415.5;403.9;397.1;400.9;407.1;406.0;400.5
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;15 years;401.0;410.3;442.0;443.2;428.0;424.9;413.3;406.5;410.3;416.5;415.4
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;20 years;427.6;426.9;439.5;464.7;465.5;450.4;447.3;435.7;428.9;432.8;439.0
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;25 years;524.6;499.9;464.0;468.0;492.1;493.0;478.0;474.9;463.4;456.7;460.6
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;30 years;532.4;525.0;524.0;482.5;485.6;509.8;510.7;495.8;492.8;481.4;474.7
BEV-VARIANTE-02;Mod. birth rate, life expectancy, mig.bal.(G2L2W2);Male;35 years;582.3;603.7;537.8;533.6;491.8;495.1;519.3;520.3;505.5;502.6;491.2
